pr01,pr02,pr03r,pr04r,pr05,pr06,pr07,pr08,pr09,pr10,au01,au02,co01,co02,co03,co04,co05,co06,co07r,co08,co09,co10,au03,au04,au05,ut01,ut02,ut03r,ut04,ut05,ut06,ut07,ut08,ut09,ut10r,ut11,ut12,au06,au07,fa01,fa02r,fa03,fa04,fa05,fa06,fa07r,fa08r,fa09r,fa10,au08,au09,au10,de01,de02,de03,de04r,de05,de06,de07,de08,de09r,de10,de11r,au11,au12,un01,un02,un03,un04,un05,un06r,un07,un08,un09,un10,un11,un12,au13,au14,au15,gt01,gt02,gt03,gt04,gt05,gt06,socnet,vk,fb,tw,in,tt,yt,freqvk,freqfb,freqtw,freqin,freqtt,freqyt,expvk,expfb,exptw,expin,exptt,expyt,dighelp,siri,alice,salut,oleg,alex,mia,mts,ggle,oth,oth_text,expsiri,expalice,expsalut,expoleg,expalex,expmia,expmts,expggle,expoth,expoth_text,selfdrcar,selfdrexp,selfdrsafe,eduai,eduaiexp,age,sex,edulvl1,spec1,edu2,edulvl2,spec2,jobfield,jobpos,city,id
4,4,1,0,2,3,3,4,4,4,0,4,4,4,3,4,4,3,5,1,1,3,3,1,2,4,4,1,4,1,3,4,5,2,3,3,3,5,3,4,1,1,0,4,4,1,1,1,4,1,5,3,4,1,3,4,4,4,3,4,1,3,1,5,0,4,3,1,1,3,5,2,4,1,2,3,4,1,4,2,3,3,3,3,3,3,1,1,0,1,1,0,1,3,-2,3,3,-2,0,2,-2,4,4,-2,4,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,-2,-2,1,4,21,f,bachelor,психология,0,-2,-2,-,-,Москва,QxKxlY255X
3,3,2,2,2,3,2,2,2,4,0,5,2,2,2,5,2,2,3,1,2,4,3,0,2,4,3,0,3,3,4,3,2,2,2,2,3,5,3,2,3,2,2,2,3,4,2,3,4,1,5,3,1,3,2,4,4,2,3,2,1,1,2,5,0,3,2,1,3,4,3,4,4,2,1,2,4,1,4,2,3,2,1,3,3,3,1,1,1,1,1,1,0,3,0,3,3,2,-2,1,3,4,3,2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,21,f,bachelor,психология,0,-2,-2,не работаю,-,Москва,SbM6fcsHP9
3,3,3,3,3,3,3,3,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3,5,3,3,3,2,3,3,3,2,3,3,3,1,5,3,3,3,3,3,3,3,3,3,2,3,3,5,0,2,2,2,2,2,3,2,2,2,2,4,2,1,4,2,2,2,2,2,1,2,1,1,1,0,1,0,1,3,3,-2,3,-2,3,3,3,-2,3,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,48,f,bachelor,преподаватель,1,college,бухгалтер,энергетика,специалист по договорной работе,оренбург,wL1uDbjB9E
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,3,4,4,3,4,3,4,3,3,3,4,3,4,3,3,3,2,2,3,3,3,3,1,1,0,0,0,0,0,1,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,43,m,specialist,инженер,0,-2,-2,машиностроение,инженер-конструктор,Первомайск,Ofyqe53y4A
3,2,3,2,2,4,4,3,3,3,0,4,3,3,2,4,2,3,2,3,3,3,3,1,2,2,2,3,4,2,4,2,2,2,3,3,3,5,3,2,4,2,2,3,3,3,3,3,2,1,5,3,3,2,3,2,4,3,2,1,1,3,4,5,0,3,3,4,3,5,4,3,3,3,2,2,2,3,4,2,3,2,2,3,3,2,1,1,1,0,0,0,0,3,0,-2,-2,-2,-2,3,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,25,f,college,Повар,0,-2,-2,Сфера обслуживания,Администратор,Калининград,pRPqAwQVda
3,3,3,5,3,3,3,2,2,3,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,3,3,4,2,3,2,3,3,3,4,3,3,3,3,2,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,1,1,2,2,2,0,1,1,1,2,3,4,2,3,2,3,3,3,3,2,2,3,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,19,f,college,секретарь,0,-2,-2,секретарь,секретарь,ижевск,6FW07m2tQ1
0,0,3,5,0,3,0,0,1,1,0,4,1,0,0,3,1,0,3,2,0,0,3,1,2,5,4,1,4,3,3,2,2,1,3,1,1,5,3,0,5,0,0,0,0,4,5,5,0,1,5,3,0,0,0,0,0,0,2,1,5,0,5,5,0,3,4,3,4,3,2,3,0,0,4,1,3,1,4,2,3,3,3,3,1,3,1,1,0,1,0,0,1,2,-2,3,-2,-2,3,2,-2,0,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,1,27,m,bachelor,Экономика,0,-2,-2,Графический дизайн,художник,Москва,7LHU43cOcV
1,2,1,2,1,2,1,2,2,2,0,4,1,2,1,1,2,2,2,2,2,1,3,1,2,3,2,2,1,2,2,1,1,2,2,1,3,5,3,1,1,1,2,2,1,2,3,3,2,1,5,3,2,3,4,3,4,2,2,1,1,3,1,5,0,1,1,1,2,1,2,1,1,2,1,2,2,1,4,2,2,2,2,2,2,2,1,1,0,0,1,1,0,3,-2,-2,3,3,-2,5,-2,-2,5,5,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,30,f,specialist,экономист,0,-2,-2,бухгалтерия,бухгалтер,пермь,ntIarc7F8T
2,1,1,2,1,2,3,3,2,2,0,4,3,2,1,1,2,1,2,3,1,2,3,1,2,1,2,2,2,1,1,2,1,1,2,3,3,5,3,2,3,1,1,2,2,2,2,1,1,1,5,3,3,1,2,2,3,2,2,2,3,2,1,5,0,1,3,1,2,2,1,3,2,2,2,2,1,1,4,2,1,2,3,1,3,2,1,1,0,0,0,0,1,3,-2,-2,-2,-2,3,4,-2,-2,-2,-2,4,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,35,m,specialist,геолог,0,-2,-2,-,-,березники,I06tmkjCnR
5,5,5,5,5,5,4,5,5,5,0,4,5,4,5,1,5,1,5,5,5,5,3,1,2,4,3,5,3,5,3,5,5,2,2,3,4,5,3,5,3,2,1,1,4,4,4,3,3,1,5,3,5,5,0,5,5,5,5,4,0,5,2,5,0,4,3,2,5,3,3,5,5,3,2,5,5,1,4,2,4,4,3,3,3,4,1,0,1,0,0,1,0,-2,1,-2,-2,2,-2,-2,5,-2,-2,5,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,23,m,college,бухгалтер,0,-2,-2,-,-,Бугульма,es0gEtNvzp
3,3,2,3,3,3,1,2,2,2,4,1,4,2,2,2,2,3,2,4,3,2,1,3,2,2,3,2,3,2,2,3,3,4,3,2,2,3,2,4,3,2,2,3,3,3,2,4,2,1,2,3,2,2,3,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,3,4,3,3,4,3,2,2,3,2,2,3,2,2,3,4,1,1,0,1,0,1,0,3,-2,3,-2,2,-2,0,-2,3,-2,5,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,1,3,23,m,school,токорь,0,-2,-2,склад,кладовщик,киров,G1FGjQ3RgQ
2,3,3,2,4,4,3,3,4,3,4,2,3,2,3,2,4,1,3,3,3,2,3,2,3,3,5,4,4,4,4,2,4,4,4,4,4,3,5,3,3,2,2,2,3,3,3,3,2,4,3,5,5,4,5,4,4,4,3,4,0,5,4,4,4,4,2,3,3,4,4,2,3,3,3,2,2,4,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,1,3,3,0,-2,45,f,specialist,медик,0,-2,-2,медицина,медик,воронеж,I5sSLM22Gh
2,4,3,2,1,1,2,3,1,3,0,4,2,4,1,3,2,3,3,2,1,1,3,1,2,2,1,3,1,3,2,2,4,2,3,1,3,5,3,3,3,1,3,1,3,3,3,1,2,1,5,3,2,3,3,2,3,2,1,3,2,3,2,5,0,1,3,1,4,2,3,1,4,1,3,3,2,1,4,2,2,2,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,41,f,bachelor,Экономист,0,-2,-2,Медицина,Бухгалтер,Санкт Петербург,pxLjdokyLN
2,2,2,2,3,3,3,3,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,2,2,3,2,3,2,2,3,3,5,3,3,3,2,3,3,3,3,3,3,3,1,5,3,3,3,3,3,3,3,3,3,3,2,3,5,0,3,3,3,3,3,3,3,3,3,3,3,3,1,4,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,45,f,specialist,менеджмент,0,-2,-2,-,-,Пенза,aVnbIJrQtt
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,5,-2,-2,5,-2,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,35,m,college,сварщик,0,-2,-2,самозанятый,толокер,череповец,JamvFbuBYK
4,2,3,3,2,2,4,4,3,3,0,4,3,4,4,4,4,4,3,4,3,4,3,1,3,3,3,1,3,2,3,5,4,4,4,4,4,5,3,4,3,4,3,3,3,3,5,4,2,1,5,3,3,2,4,3,3,3,4,3,4,2,4,5,0,4,4,3,4,3,4,3,4,4,4,5,3,1,4,2,3,3,3,2,1,3,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,36,m,master,инженер,0,-2,-2,-,-,Сланцы,DIxxqD2G2n
3,3,1,1,3,3,3,3,3,4,0,4,3,3,3,4,3,3,3,1,3,3,3,1,2,3,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,1,3,1,5,3,3,3,3,4,4,3,4,4,1,3,1,5,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,2,2,2,1,2,2,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,3,-2,-2,2,-2,4,1,0,0,0,0,0,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,0,-2,-2,0,-2,24,m,bachelor,бизнес-информатика,0,-2,-2,-,-,Москва,osqQVLURO8
3,3,2,2,0,4,2,3,3,3,0,4,2,2,2,3,2,2,3,2,2,2,3,1,2,4,4,2,4,2,4,2,2,3,3,3,2,5,3,2,1,1,1,2,2,2,2,2,3,1,5,3,2,2,2,2,4,0,5,3,1,3,2,5,0,3,3,3,2,3,4,2,3,4,3,3,3,1,4,2,1,1,2,2,3,2,1,1,1,0,1,0,1,1,0,-2,3,-2,1,1,1,-2,3,-2,3,1,1,1,0,0,0,0,0,0,0,-2,4,5,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,32,f,school,математический факультет НГПУ (неоконченное),0,-2,-2,Продажа мебели,Управляющий салоном.,Новосибирск,lmJQICoStk
3,3,2,3,3,3,3,3,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3,5,3,2,3,3,2,3,3,3,3,3,2,1,5,3,3,2,3,3,3,3,3,3,2,3,3,5,0,3,3,3,3,3,3,3,3,3,3,3,3,1,4,2,3,3,3,3,2,3,1,1,1,0,1,0,0,2,1,-2,2,-2,-2,3,3,-2,3,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,38,m,specialist,Связь,0,-2,-2,Связь,главный специалист,Чапаевск,aYnNkRNNAq
2,2,3,3,2,2,2,2,2,2,0,4,2,2,2,3,2,2,3,3,2,2,3,1,2,2,2,3,3,2,2,2,2,2,3,2,2,5,3,2,3,2,2,2,2,3,3,3,2,1,5,3,2,2,2,2,2,2,2,2,3,2,2,5,0,3,2,3,2,3,3,3,2,2,2,2,2,1,4,2,2,3,3,3,3,3,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,36,f,school,Общеобразовательная школп,0,-2,-2,Не работаю,Нет,Владимир,g3R5aiT3sz
3,2,2,2,2,2,4,4,4,3,0,4,3,1,3,3,3,3,3,4,4,2,3,1,2,3,3,1,4,3,4,1,3,4,2,3,3,0,3,5,4,3,5,5,3,4,4,5,1,1,5,3,3,3,5,1,3,3,3,3,0,5,5,5,0,2,3,3,3,4,2,2,2,3,2,3,2,1,4,2,2,2,2,3,1,2,1,1,1,1,1,1,1,3,0,0,0,3,3,5,3,3,3,5,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,20,m,college,Программист в компьютерных сетях,0,-2,-2,-,-,Геленджик,Va5ckik4TH
3,2,2,1,1,3,2,3,4,1,0,4,2,2,3,4,1,2,2,2,1,2,3,1,2,4,4,0,3,2,0,1,3,4,5,1,3,5,3,2,4,1,1,2,1,3,3,3,2,1,5,3,3,1,1,3,4,1,2,3,1,1,4,5,5,3,3,3,3,3,1,2,4,3,3,3,4,1,4,2,1,1,1,1,2,2,1,1,0,1,1,0,1,3,-2,1,3,-2,3,3,-2,3,3,-2,4,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,32,m,specialist,электроэнергетика,0,-2,-2,энергетика,инженер,Смоленск,eZQ7yJZtqb
3,3,2,2,3,2,2,3,4,2,0,4,3,3,3,4,2,3,2,2,1,1,4,1,2,4,3,1,3,4,3,3,3,4,2,3,4,5,3,3,1,1,3,3,1,1,3,3,3,1,5,3,2,2,3,3,4,2,1,3,1,1,4,5,0,3,1,2,1,2,3,1,3,1,1,1,3,1,4,2,1,1,1,1,3,1,1,1,0,0,0,0,1,2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,19,f,bachelor,Информатика и вычислительная техника,0,-2,-2,____,_____,Москва,LMKnnA9PDE
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,1,4,4,4,4,3,3,3,3,3,3,1,0,0,0,1,0,0,-2,-2,-2,3,-2,-2,-2,-2,-2,4,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,31,m,school,ПЛОТНИК,0,-2,-2,жкх,ПЛОТНИК,Ярославль,lq1BncsQHb
4,4,4,3,5,5,5,3,4,3,0,4,4,3,4,5,3,3,4,0,3,3,3,1,2,5,5,0,4,5,4,1,5,4,3,5,5,5,3,3,3,0,2,3,4,1,2,2,4,1,5,3,2,4,4,5,5,4,4,5,1,4,2,5,0,4,5,5,4,5,1,3,4,4,3,5,4,1,4,2,2,2,3,3,1,2,1,1,0,0,0,1,0,3,-2,-2,-2,2,-2,5,-2,-2,-2,4,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,25,f,specialist,Иллюстратор,0,-2,-2,Иллюстрация,самозанятый,Казань,EZvcwPOLkM
3,3,3,3,2,3,2,3,2,3,0,4,2,3,2,3,3,3,3,3,2,2,3,1,2,4,4,2,4,4,4,4,4,4,1,2,4,5,3,3,2,2,3,4,3,4,3,2,3,1,5,3,3,1,1,3,2,2,4,3,3,3,2,5,0,3,3,2,3,3,3,3,2,3,2,3,3,1,4,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,2,0,3,-2,3,3,3,3,5,-2,5,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,-2,-2,0,-2,24,f,bachelor,бухгалтерия,0,-2,-2,-,-,шахты,WNYnXcivgX
2,2,2,2,2,2,2,2,2,2,0,4,2,3,3,2,3,2,3,2,2,2,3,1,2,3,3,2,3,2,2,2,2,3,2,2,2,5,3,2,4,2,2,2,2,2,3,4,2,1,5,3,1,1,1,1,1,1,4,2,4,1,4,5,0,4,4,4,4,4,1,4,3,4,4,4,3,1,4,2,1,1,1,1,2,3,1,1,0,0,0,0,1,3,-2,-2,-2,-2,3,3,-2,-2,-2,-2,5,1,1,0,0,0,0,0,0,0,0,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,38,m,specialist,инженер,1,college,метролог,транспорт,инженер,псков,TLUnMwBi5l
1,2,3,2,3,4,3,2,2,4,0,4,3,3,2,3,1,3,3,4,3,2,3,1,2,4,3,1,2,3,4,4,3,2,2,3,3,5,3,2,2,2,4,3,3,2,3,4,2,1,5,3,2,2,3,3,2,3,2,2,1,2,4,5,0,3,4,4,3,4,1,3,1,3,4,2,3,1,1,2,1,1,2,2,4,1,1,1,0,0,1,0,1,3,-2,-2,2,-2,3,2,-2,-2,2,-2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,18,f,college,преподаватель начальных классов,0,-2,-2,-,-,катайск,gE9hPWgAs7
2,3,2,2,1,2,2,1,1,2,0,4,1,2,2,2,1,2,2,2,3,2,3,1,2,4,3,2,4,3,3,2,3,3,3,4,4,5,3,1,1,1,0,0,1,2,3,1,3,1,5,3,1,1,2,0,1,1,1,1,1,0,0,5,0,1,1,1,1,1,0,1,0,1,1,1,0,1,4,2,3,3,3,3,2,1,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,4,-2,-2,5,-2,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,20,m,college,Монтажник,0,-2,-2,-,-,Сіктівкар,Q6k63D7zEf
0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,0,0,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,-2,-2,-2,-2,3,4,-2,-2,-2,-2,4,1,0,1,1,0,0,0,0,0,0,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,49,m,master,тактико-специальная подготовка,0,-2,-2,IT-сфера,самозанятый,Пенза,Wr9gIWKrsy
1,4,5,3,3,3,2,2,2,5,0,4,4,4,4,1,1,3,3,2,3,4,3,1,2,3,4,4,3,4,3,5,3,1,5,3,3,5,3,3,1,5,3,3,1,4,2,4,3,3,2,5,5,2,3,4,3,4,5,4,3,4,5,2,3,2,2,4,4,4,2,5,5,4,2,5,3,1,4,2,2,1,1,1,3,1,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,30,m,college,Слесарь по ремонту подвижного состава,0,-2,-2,Строительство,Слесарь,Няндома,52ias4Hp6G
1,1,1,3,3,2,1,2,1,1,0,4,2,2,2,1,1,2,2,2,1,2,3,1,2,4,2,1,2,2,2,2,2,1,2,2,2,5,3,2,3,2,1,2,3,2,1,4,2,1,5,3,2,2,2,2,1,0,2,2,0,1,4,5,0,1,2,2,1,2,1,2,1,2,3,3,2,1,4,2,1,2,1,0,1,3,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,0,-2,-2,3,-2,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,21,m,college,менеджер,0,-2,-2,--,--,Челябинск,Qq9GR6HNZF
2,1,3,1,1,2,1,1,2,0,0,4,1,1,2,2,0,1,4,2,0,3,3,1,2,4,3,2,3,2,2,4,3,0,3,0,0,5,3,3,1,1,0,3,2,5,2,2,5,1,5,3,1,0,1,1,3,0,1,1,4,0,4,5,0,3,2,2,3,3,3,2,3,2,2,3,4,1,4,2,1,1,0,1,3,1,1,0,0,0,0,1,1,-2,-2,-2,-2,2,2,-2,-2,-2,-2,3,3,1,1,1,1,0,0,1,0,0,0,-2,1,3,2,-2,-2,2,-2,-2,-2,-2,0,-2,-2,0,-2,35,m,school,оператор ПК,0,-2,-2,торговля,экспедитор,Екатеринбург,RA5bBnFe4N
4,3,3,3,1,4,3,3,3,3,0,4,4,4,4,4,4,4,3,4,4,4,3,1,2,4,4,3,3,4,4,4,4,4,4,4,3,5,3,1,3,3,1,3,3,3,3,1,3,1,5,3,3,3,3,3,3,3,3,3,1,3,3,5,0,3,3,3,3,3,3,3,3,3,3,3,3,1,4,2,2,1,3,1,3,2,1,1,1,0,0,0,1,2,2,-2,-2,-2,3,4,4,-2,-2,-2,4,1,0,1,1,0,0,0,0,0,0,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,33,m,master,экономист,0,-2,-2,логистика,логист,москва,G70zNZZCwQ
2,2,2,2,3,2,2,3,3,3,0,4,3,3,3,3,2,2,3,2,2,2,3,1,2,3,3,2,2,3,3,3,3,3,3,3,2,5,3,3,3,2,2,3,3,2,3,3,3,1,5,3,3,3,3,3,3,3,3,3,2,3,2,5,0,3,3,3,3,3,2,3,3,3,2,2,3,1,4,2,1,2,2,2,3,2,1,1,0,0,0,0,1,3,-2,-2,-2,-2,3,4,-2,-2,-2,-2,4,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,1,3,3,0,-2,34,m,specialist,Инженер водоснабжения,1,specialist,Инженер виноделия,Производство,Инженер,Джанкой,tw5W7Qbtj0
5,5,5,0,5,5,5,5,5,2,0,4,4,5,4,5,5,4,5,1,4,5,3,1,2,5,5,0,1,5,4,5,5,3,1,5,5,5,3,5,4,2,2,5,5,5,2,4,0,1,5,3,2,4,2,4,5,5,4,4,0,4,1,5,0,3,1,1,1,4,2,4,3,1,4,3,3,1,4,2,0,0,0,0,1,2,1,1,1,1,1,1,1,3,0,0,3,3,3,3,2,2,5,5,5,1,1,1,0,1,0,0,0,0,0,-2,3,4,-2,5,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,23,f,bachelor,Менеджмент,1,college,Тренер-преподаватель,Недвижимость,Секретарь,Москва,y95ylFGC9g
3,3,2,2,1,4,4,3,3,3,0,4,3,3,2,4,2,3,4,3,2,3,3,1,2,4,4,2,4,4,4,5,3,4,3,1,3,5,3,4,4,1,3,3,2,2,3,4,4,1,5,3,4,2,2,4,4,2,4,4,2,3,2,5,0,4,4,4,4,4,2,4,4,2,4,3,4,1,4,2,1,1,1,3,1,1,1,1,0,0,0,0,1,3,-2,-2,-2,-2,2,3,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,32,f,specialist,Бухгалтерия,0,-2,-2,Транспорт,бухгалтер,Челябинск,7UIn26fTXL
3,3,2,2,3,3,2,3,3,3,0,4,2,3,3,3,2,3,2,3,1,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,0,0,3,3,4,2,2,4,1,5,3,2,1,2,3,3,3,2,2,3,3,3,5,0,2,1,1,2,1,3,2,2,2,2,2,2,1,4,2,1,1,0,0,3,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,43,m,master,инженер,0,-2,-2,логистика,оператор,Ростов,prkNbsJS99
3,3,1,1,1,3,3,3,2,3,0,4,3,3,3,3,2,2,3,1,1,3,3,1,2,5,5,0,5,4,3,4,3,4,0,4,4,5,4,3,2,0,1,3,3,2,4,5,4,1,5,3,3,3,1,3,4,1,3,4,1,3,3,5,0,3,2,2,4,3,4,1,4,1,1,3,4,1,4,2,1,2,1,1,0,1,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,1,-2,-2,2,-2,3,1,1,1,0,0,0,0,0,0,0,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,20,m,bachelor,государственное и муниципальное управление,0,-2,-2,smm,контент-менеджер,Санкт-Петербург,Kpc9oqB65a
1,3,2,2,1,3,1,1,0,2,5,4,1,1,2,2,2,2,2,1,3,3,3,1,3,1,1,5,2,2,3,2,2,2,2,2,1,5,3,1,3,1,3,2,0,5,1,3,3,1,5,3,2,0,0,2,1,2,3,2,1,1,2,1,5,2,1,2,2,1,1,1,3,2,3,5,2,1,4,2,2,0,1,0,2,2,1,1,0,0,0,0,1,3,-2,-2,-2,-2,3,5,-2,-2,-2,-2,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,2,30,m,college,педагог,0,-2,-2,торговля,руководитель отдела,новосибирск,R6KgZz9Cno
