pr01,pr02,pr03r,pr04r,pr05,pr06,pr07,pr08,pr09,pr10,au01,au02,co01,co02,co03,co04,co05,co06,co07r,co08,co09,co10,au03,au04,au05,ut01,ut02,ut03r,ut04,ut05,ut06,ut07,ut08,ut09,ut10r,ut11,ut12,au06,au07,fa01,fa02r,fa03,fa04,fa05,fa06,fa07r,fa08r,fa09r,fa10,au08,au09,au10,de01,de02,de03,de04r,de05,de06,de07,de08,de09r,de10,de11r,au11,au12,un01,un02,un03,un04,un05,un06r,un07,un08,un09,un10,un11,un12,au13,au14,au15,gt01,gt02,gt03,gt04,gt05,gt06,socnet,vk,fb,tw,in,tt,yt,freqvk,freqfb,freqtw,freqin,freqtt,freqyt,expvk,expfb,exptw,expin,exptt,expyt,dighelp,siri,alice,salut,oleg,alex,mia,mts,ggle,oth,oth_text,expsiri,expalice,expsalut,expoleg,expalex,expmia,expmts,expggle,expoth,expoth_text,selfdrcar,selfdrexp,selfdrsafe,eduai,eduaiexp,age,sex,edulvl1,spec1,edu2,edulvl2,spec2,jobfield,jobpos,city,id
5,5,5,5,5,5,5,5,5,5,0,4,1,5,5,5,5,5,5,0,5,5,3,1,2,5,5,0,3,5,5,5,5,5,5,5,5,5,3,2,5,0,0,0,5,5,5,5,0,1,5,3,0,5,0,5,5,2,5,0,0,0,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,1,4,2,1,1,1,1,0,4,1,1,1,0,0,0,1,3,1,-2,-2,-2,3,5,1,-2,-2,-2,3,1,1,1,0,0,0,0,0,0,0,-2,5,2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,28,m,bachelor,юрист,0,-2,-2,Самозанятый,самозанятый,Тамбов,7HhfKTqNrj
4,4,1,1,4,4,3,5,3,5,0,4,3,3,4,5,2,3,5,2,2,3,3,1,2,4,4,1,4,5,5,3,4,4,1,4,4,5,3,2,4,2,1,2,4,2,3,4,1,1,5,3,3,4,5,5,5,4,5,5,2,4,1,5,0,4,3,4,4,4,1,4,3,4,4,4,4,1,4,2,1,1,1,3,3,4,1,1,0,0,1,0,0,1,-2,-2,0,-2,-2,4,-2,-2,4,-2,-2,1,1,1,0,0,0,0,0,1,0,-2,4,4,-2,-2,-2,-2,-2,3,-2,-2,0,-2,-2,0,-2,26,f,college,Технолог общественного питания,1,college,Водитель Троллейбуса,Транспорт,Водитель троллейбуса,Краснодар,i3aMRfQOSq
0,1,2,1,1,0,1,0,1,1,0,4,0,1,4,2,0,0,0,5,0,2,3,1,2,3,3,2,1,4,1,2,2,5,5,2,1,5,3,0,2,0,0,0,1,5,1,5,0,1,5,3,1,0,0,0,2,0,2,0,5,0,0,5,0,2,0,1,1,1,4,0,2,1,1,1,1,1,4,2,1,1,1,1,3,3,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,30,m,bachelor,Менеджер,0,-2,-2,Обслуживание,Рабочий,Воркута,UbjSMyY3Yv
4,4,4,4,4,4,4,4,4,4,0,4,4,3,4,4,4,4,4,2,2,4,3,1,2,3,3,2,2,3,3,3,2,3,3,3,3,5,3,4,4,4,4,4,4,4,4,4,4,1,0,3,4,4,4,4,5,4,4,4,1,4,4,5,0,4,4,4,4,4,2,4,4,4,4,4,4,1,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,3,-2,2,3,2,3,5,-2,5,5,5,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,19,f,college,технолог общественного питания,0,-2,-2,-,-,тобольск,vynBhGBi1s
3,3,1,4,2,3,3,3,3,4,0,4,1,3,3,1,1,2,2,2,2,1,3,2,2,5,3,1,3,4,2,2,2,3,3,2,3,5,3,2,3,2,1,3,2,2,2,3,2,1,5,3,1,3,2,2,4,2,2,1,1,4,2,5,0,2,1,1,2,2,4,1,1,1,2,1,2,1,4,2,3,3,3,3,3,2,1,1,0,1,1,0,0,3,-2,3,3,-2,-2,3,-2,2,4,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,22,f,college,Экономика и бухгалтерский учёт,0,-2,-2,-,-,Нижний Новгород,eOUVf60lrb
3,3,2,2,3,3,3,3,2,3,0,4,3,3,3,3,3,2,3,1,2,2,3,1,2,3,3,1,3,3,3,3,3,3,2,3,3,5,3,3,2,2,2,3,3,2,2,2,3,1,5,3,3,3,2,3,3,3,3,3,2,3,2,5,0,3,3,3,3,3,2,3,3,3,3,3,3,1,4,2,2,1,1,1,1,3,1,1,1,1,1,1,1,3,3,2,3,3,3,4,3,3,4,4,4,1,0,1,1,0,0,0,0,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,40,m,college,техник программист,1,college,медбрат,IT,техник-программист,Йошкар-Ола,1fgBHEHq6T
5,3,2,2,2,4,3,2,3,3,0,4,3,4,3,5,2,3,5,1,2,3,2,1,2,4,5,1,3,4,3,4,3,4,3,4,5,5,3,3,2,3,2,4,3,2,3,2,2,1,5,3,4,3,3,4,4,3,3,3,2,3,3,5,0,2,2,2,2,2,4,2,2,2,2,2,2,1,4,2,3,3,3,3,3,3,1,1,0,0,0,0,0,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,29,m,college,электросварщик,0,-2,-2,-,-,Самара,PwXEJApBeD
3,4,3,2,1,3,2,2,3,2,0,4,2,2,3,3,1,2,4,1,1,3,3,1,2,5,4,1,4,4,5,2,3,5,4,2,4,5,3,3,1,2,1,3,2,3,3,2,4,1,5,3,3,2,1,3,4,1,3,2,1,2,3,5,0,3,3,0,1,3,4,1,3,1,1,3,3,1,4,2,2,3,3,3,3,4,1,1,1,0,1,0,1,2,1,-2,3,-2,2,3,4,-2,3,-2,4,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,42,f,specialist,Филология,0,-2,-2,Управление персоналом,Руководитель отдела,Екатеринбург,8GZ2r4wnDi
4,5,4,4,1,5,3,4,4,3,0,4,3,5,5,5,4,5,5,0,4,5,3,1,2,5,4,4,5,3,4,5,4,5,4,1,4,5,3,3,4,4,4,3,2,5,3,3,1,1,5,3,4,3,4,4,1,2,4,3,3,1,3,5,0,4,5,5,5,5,1,4,5,4,5,4,5,1,4,2,1,1,0,1,3,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,3,42,m,master,финансы и экономика,1,college,налогообложение,эконофика,главный эксперт,москва,oyRYIh2w3C
2,1,3,4,2,2,3,3,3,2,0,4,1,3,3,3,1,1,5,1,1,1,3,1,2,5,4,2,5,4,3,5,5,2,3,2,3,5,3,2,2,2,1,2,1,5,1,2,5,1,5,3,4,2,2,4,4,2,2,3,1,1,3,5,0,3,3,4,3,3,2,3,4,3,3,4,4,0,5,2,1,1,0,1,3,2,1,1,1,0,0,0,1,2,0,-2,-2,-2,3,4,2,-2,-2,-2,4,1,0,0,0,1,0,0,0,1,0,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,0,-2,-2,1,3,36,f,postgrad,ветеринарный врач,1,college,медицинская сестра,"научно-исследовательская деятельность, ветеринария, эпидемиология",научный сотрудник,Владимир,QkFREk3u9V
4,4,1,1,3,5,4,4,2,4,0,4,4,4,4,4,4,4,3,0,4,4,3,1,2,4,4,0,4,4,4,4,4,4,1,4,4,5,3,3,3,1,4,4,4,1,4,1,3,1,5,3,4,4,4,4,4,3,4,4,1,4,1,5,0,4,4,4,4,3,1,4,4,4,4,3,4,1,4,2,2,2,2,2,1,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,4,45,m,college,станочник широкого профиля,1,college,наладчик холодильных установок,строительство,по работе с персоналом,пенза,zREge62I9O
3,3,4,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,3,4,4,3,1,2,4,4,3,3,4,4,4,4,5,4,4,4,5,3,3,3,1,3,2,3,2,3,2,3,1,5,3,4,4,5,3,5,3,4,3,1,4,5,5,3,4,4,4,4,4,0,3,5,4,3,3,3,1,4,2,2,2,2,2,3,1,1,1,0,0,1,0,1,0,-2,-2,3,-2,3,3,-2,-2,4,-2,4,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,37,f,specialist,инженер по земельному кадастру,1,college,Библиотековед-библиограф,Строительство,специалист по земельным отношениям,Волгодонск,KiTwcbdmOq
0,0,2,5,0,1,0,0,0,4,0,4,0,0,2,5,0,2,5,0,0,5,3,1,2,5,2,3,0,0,0,1,0,0,4,0,3,5,3,0,5,0,0,1,0,4,5,0,0,1,5,3,2,0,0,0,1,0,2,0,5,0,5,5,0,4,5,5,5,5,2,0,5,0,5,2,5,1,4,2,2,3,1,4,4,0,1,1,1,0,1,0,1,3,0,-2,2,-2,1,0,3,-2,5,-2,5,1,1,1,0,1,0,0,0,1,0,-2,4,5,-2,5,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,37,m,college,Кондитер,0,-2,-2,-,-,Чита,ESu2rLYlXB
4,4,3,2,0,3,2,1,4,4,1,4,3,1,1,3,2,2,1,1,1,1,3,1,2,4,4,1,1,1,4,5,4,4,5,5,4,5,3,2,5,1,0,2,1,4,4,1,2,1,5,3,2,2,2,1,2,1,0,2,2,1,3,5,0,4,2,4,3,1,2,2,2,1,1,1,2,1,4,2,1,1,0,1,2,1,1,1,1,0,0,0,1,3,2,-2,-2,-2,2,3,3,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,27,m,college,товаровед-эксперт,0,-2,-2,торговля,мерчендайзер,Белореченск,WtjTWDPc9L
3,2,3,3,2,2,3,3,3,4,0,4,2,2,2,2,2,1,2,3,3,1,3,1,2,4,4,2,2,3,3,2,4,4,2,4,3,5,3,2,3,1,1,2,2,2,3,3,2,1,5,3,3,3,3,3,3,2,2,3,2,2,1,5,0,3,1,3,3,2,4,1,2,1,1,3,2,1,4,2,2,2,1,2,3,3,1,1,1,0,0,1,1,3,1,-2,-2,0,1,4,3,-2,-2,3,3,1,1,1,1,0,0,0,0,0,0,-2,2,3,3,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,34,f,specialist,Документоведение и архивоведение,0,-2,-2,Образование,Специалист,Пермь,Fmdof1u9vP
3,3,2,1,3,4,2,3,2,3,0,4,3,3,4,4,3,3,5,2,2,3,3,1,2,4,5,1,4,5,4,2,4,4,4,4,4,5,3,1,4,2,2,2,3,2,3,4,2,1,5,3,4,2,3,4,4,4,4,2,1,2,2,5,0,3,3,4,2,3,2,3,3,3,2,3,4,1,4,2,1,2,2,1,0,3,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,2,-2,-2,4,-2,4,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,-2,-2,0,-2,22,m,bachelor,Юриспруденөия,0,-2,-2,-,-,Казань,HyZPG1Cebo
