pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt_score,gt01,gt02,gt03,gt04,gt05,gt06,age,sex,edulvl1,e_dighelp,PR,CO,UT,FA,DE,UN,TAIA,GT
3,2,3,3,2,2,2,4,2,3,2,1,2,4,1,2,3,1,1,2,4,4,4,3,3,2,2,3,3,1,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2.8333333333333335,3,3,3,3,2,3,49,f,specialist,NA,26,16,34,27,26,32,161,2.8333333333333335
2,3,3,3,2,2,2,2,3,2,3,3,2,2,3,3,0,2,3,1,3,2,3,2,2,1,4,3,2,3,1,2,3,2,3,3,3,3,3,1,1,3,3,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,2.1666666666666665,2,2,2,2,3,2,19,f,specialist,3,24,22,25,25,25,36,157,2.1666666666666665
2,3,4,3,2,3,3,2,3,1,2,2,3,3,2,2,2,2,2,2,3,3,4,4,3,3,3,5,3,4,3,3,2,2,2,1,2,2,3,2,2,2,3,3,2,2,2,3,4,3,2,3,3,2,1,2,0,0,2,0,1,0,0,0,0,2.8333333333333335,3,2,3,3,3,3,46,m,school,NA,26,20,37,20,28,8,139,2.8333333333333335
3,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,4,2,4,2,2,3,3,2,2,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,0,2,2,2,2,2,3,2,2,2,2,3,3,1.1666666666666667,1,1,1,1,1,2,22,f,college,5,30,24,30,26,23,27,160,1.1666666666666667
2,2,2,2,2,2,2,3,2,1,3,3,2,3,3,3,2,2,2,3,3,3,3,4,3,3,3,2,3,2,3,3,1,2,1,1,1,2,2,2,2,2,2,2,1,3,2,1,2,1,2,0,2,2,1,1,0,0,1,2,2,1,3,1,1,0.3333333333333333,0,0,0,0,1,1,55,f,specialist,NA,20,24,33,16,15,15,123,0.3333333333333333
4,4,1,3,3,2,0,2,2,3,1,2,2,4,2,3,1,2,2,4,5,5,4,4,4,4,4,4,4,2,3,4,2,0,2,0,2,3,2,1,1,0,4,3,2,1,3,2,2,2,1,2,1,3,3,4,3,3,1,2,3,1,2,3,3,1.5,1,2,1,3,1,1,25,f,postgrad,3.5,24,22,45,13,22,31,157,1.5
3,3,3,3,3,3,2,3,3,4,2,2,4,3,1,2,1,1,1,2,4,4,4,4,1,4,4,5,4,4,3,4,1,2,1,1,1,3,3,2,2,1,2,2,2,1,5,3,3,4,5,2,3,4,3,4,3,3,3,1,3,3,1,4,5,2,1,3,1,2,3,2,18,m,school,4,30,18,41,17,31,37,174,2
2,2,2,2,3,3,2,4,3,2,2,3,4,5,2,2,0,2,2,2,5,5,3,5,3,4,3,3,4,1,4,4,3,2,2,2,3,3,3,0,2,5,0,3,2,0,4,3,3,2,4,3,3,3,2,3,3,2,2,0,2,3,0,2,3,2.3333333333333335,2,2,3,2,3,2,25,m,college,3.6666666666666665,25,24,43,25,27,25,169,2.3333333333333335
2,3,4,3,3,2,3,3,3,3,2,4,3,2,3,4,1,3,2,3,4,3,4,4,4,3,2,2,4,4,3,3,2,2,2,3,3,2,3,2,3,2,3,3,2,5,4,3,4,2,4,4,1,3,4,3,2,3,4,3,4,3,4,3,4,1.8333333333333333,2,3,1,2,2,1,25,m,master,3.5,29,26,36,24,30,40,185,1.8333333333333333
3,3,2,2,2,4,2,2,3,3,2,3,3,3,2,1,2,2,1,2,4,4,4,4,4,4,4,4,4,3,3,4,3,3,1,2,3,2,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,2,2,2,2,2,1,2,2,1,2,2,2,2.8333333333333335,3,3,3,3,2,3,47,f,master,3,26,19,43,26,27,22,163,2.8333333333333335
2,2,3,3,1,2,1,3,3,3,1,2,2,4,1,1,0,1,1,0,3,3,3,3,2,3,4,3,2,2,2,3,1,1,3,1,1,2,2,3,1,2,3,2,3,2,3,1,2,1,3,1,1,3,0,1,0,0,1,0,2,0,0,0,0,0.3333333333333333,0,0,0,0,1,1,47,f,bachelor,NA,23,13,31,17,20,7,111,0.3333333333333333
2,2,2,1,0,4,2,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,3,0,0,4,3,4,4,4,3,2,4,4,4,4,4,0.6666666666666666,0,0,1,3,0,0,64,f,college,1,20,2,4,0,7,44,77,0.6666666666666666
2,2,3,4,0,0,3,2,3,3,1,0,3,3,1,0,4,2,1,2,4,3,3,3,2,2,4,4,3,3,0,2,3,2,3,0,2,2,0,3,3,4,2,0,2,4,4,0,2,0,3,0,0,3,3,0,3,3,3,0,5,1,1,3,3,3.5,4,4,4,3,3,3,36,f,specialist,NA,22,13,30,22,13,28,128,3.5
4,3,3,3,5,4,4,3,3,3,3,3,3,3,3,3,0,2,4,2,5,5,5,0,5,4,3,4,4,3,5,4,3,1,0,0,2,2,3,1,1,2,2,3,2,1,5,5,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4,1,0,2,1,0,2,1,38,m,college,NA,35,26,44,15,33,41,194,1
2,2,3,2,2,4,2,3,2,2,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,3,2,3,2,2,3,3,1,2,1,2,2,1,2,2,2,2,3,3,1,2,3,1,3,3,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2.1666666666666665,2,2,2,2,2,3,26,m,college,NA,24,21,29,17,24,36,151,2.1666666666666665
4,3,4,3,3,3,3,4,3,3,3,4,4,2,3,3,1,1,3,2,5,5,5,5,5,4,5,4,3,5,2,5,4,3,1,1,4,5,3,3,4,2,3,2,3,2,4,1,4,4,4,3,4,4,3,5,3,3,3,3,3,2,3,3,3,1.3333333333333333,1,1,1,1,2,2,71,f,specialist,3.6666666666666665,33,25,48,30,32,38,206,1.3333333333333333
