pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt_score,gt01,gt02,gt03,gt04,gt05,gt06,age,sex,edulvl1,e_dighelp,PR,CO,UT,FA,DE,UN,TAIA,GT
5,4,5,5,0,5,5,4,4,4,4,4,4,4,4,4,1,2,3,3,5,5,5,0,5,5,5,5,5,0,0,5,3,1,0,0,4,5,5,1,2,4,5,4,0,2,5,0,4,3,5,0,1,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,35,f,college,5,41,32,45,25,27,47,217,3
3,3,3,3,3,3,3,3,3,3,2,3,3,5,2,3,2,2,2,2,5,5,4,4,5,5,5,4,3,3,4,4,2,0,2,2,3,3,3,1,1,2,2,3,3,2,4,3,4,3,3,3,1,4,4,5,3,3,3,2,3,3,3,3,3,1.3333333333333333,0,3,2,1,1,1,38,m,specialist,3.5,30,24,48,19,29,39,189,1.3333333333333333
1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,3,2,2,2,3,2,3,2,2,1,1,2,2,2,2,2,2,3,3,3,2,1,2,3,2,2,2,2,1,2,3,3,2,4,4,3,2,2,2,2,3,3,4,1.6666666666666667,1,1,2,1,2,3,38,m,college,NA,17,18,26,22,19,34,136,1.6666666666666667
0,3,4,5,3,1,1,2,2,2,0,0,1,3,0,2,1,3,2,0,2,2,3,1,3,0,2,1,3,3,1,1,0,1,1,3,0,0,3,2,2,3,1,2,0,3,3,2,1,1,4,0,5,0,0,1,0,1,0,1,3,0,0,2,1,1.8333333333333333,1,2,1,1,3,3,52,f,college,3,23,11,19,15,19,9,96,1.8333333333333333
3,3,4,4,3,3,4,4,4,1,3,2,2,4,1,4,1,0,1,3,4,5,4,4,3,3,4,4,4,3,2,3,4,1,1,1,4,3,3,5,4,4,1,3,1,1,5,3,1,3,5,2,1,3,1,3,1,3,2,1,2,3,3,1,3,2.6666666666666665,1,3,3,2,3,4,37,f,college,4,33,20,40,30,25,26,174,2.6666666666666665
2,3,2,3,0,3,2,2,2,2,2,1,1,3,2,3,3,1,2,2,3,3,4,3,3,3,3,3,3,2,0,3,1,3,1,1,1,1,2,2,2,3,1,0,0,3,2,0,2,2,2,0,2,2,2,3,2,2,2,1,1,1,2,2,1,1.3333333333333333,1,1,2,1,2,1,43,m,college,3,21,17,31,17,11,21,118,1.3333333333333333
3,2,2,2,2,2,3,3,3,4,2,2,2,2,2,1,3,3,3,1,4,4,3,2,3,3,2,4,4,3,4,3,2,2,1,1,2,2,3,2,2,2,3,3,3,2,3,2,2,3,3,2,4,3,1,3,3,2,1,1,2,1,1,3,2,2.1666666666666665,2,2,1,2,3,3,34,f,specialist,2.6666666666666665,26,18,36,19,28,23,150,2.1666666666666665
3,2,2,3,2,2,2,3,3,3,2,3,2,4,2,3,2,1,2,2,5,5,4,2,4,2,5,5,3,4,3,4,2,2,0,1,2,2,2,1,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,4,2,4,2,1,3,2,1,2,2,1.6666666666666667,2,1,3,1,2,1,45,f,specialist,3,25,21,42,18,22,29,157,1.6666666666666667
4,4,5,5,4,5,4,4,3,3,5,4,5,5,0,0,0,0,2,5,5,5,5,5,5,4,5,2,5,5,5,5,5,2,0,1,4,4,4,1,2,5,2,2,2,2,5,5,4,3,5,4,4,4,4,5,4,4,1,2,4,4,3,4,5,1.3333333333333333,0,1,2,1,3,1,34,m,specialist,4,41,26,51,28,36,44,226,1.3333333333333333
2,5,2,4,2,3,1,4,2,4,1,2,4,2,0,0,0,0,1,0,4,3,4,1,2,2,5,3,0,3,0,2,3,4,0,3,4,2,3,4,4,5,3,3,1,2,4,1,2,4,4,4,0,4,3,4,2,4,3,3,3,2,2,3,4,2.5,2,2,2,3,3,3,46,m,master,3,29,10,26,32,26,37,160,2.5
3,3,3,4,1,3,1,3,4,3,2,2,3,4,2,1,1,2,2,1,3,4,5,3,2,3,5,5,1,4,2,3,2,1,2,0,2,3,3,1,1,3,3,0,0,1,5,2,2,3,5,0,3,3,2,4,3,3,2,0,4,2,1,3,2,1.5,1,1,1,2,3,1,38,m,college,4,28,19,36,18,23,29,153,1.5
3,1,3,1,2,2,3,4,3,4,2,3,3,4,2,2,3,1,1,2,5,5,5,4,4,4,4,4,3,4,2,4,4,4,1,2,4,4,3,3,3,3,4,3,2,1,4,2,3,3,4,3,2,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,28,m,bachelor,4,26,20,44,31,30,20,171,1
3,4,3,4,2,5,4,4,3,3,4,4,3,5,3,3,2,1,2,3,5,4,5,4,5,5,4,5,4,4,0,5,1,1,4,1,2,3,3,2,2,1,3,3,4,1,4,2,5,3,1,4,4,3,3,4,3,3,3,2,3,3,2,2,2,1.6666666666666667,1,2,3,1,1,2,35,m,school,NA,35,28,46,20,33,33,195,1.6666666666666667
2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2.8333333333333335,2,3,3,3,3,3,36,f,school,NA,20,20,23,20,21,28,132,2.8333333333333335
4,3,2,2,1,4,3,3,3,3,4,4,4,4,4,4,2,4,4,4,4,4,2,3,4,4,4,4,4,1,4,3,1,2,3,1,3,3,2,2,4,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1,3,1,3,2,33,m,master,4,28,36,40,24,30,35,193,2
2,3,2,4,4,2,3,2,3,3,3,4,4,5,1,3,1,1,1,2,5,5,5,4,5,5,4,4,5,4,5,5,4,4,0,2,4,3,4,4,2,5,4,4,3,2,4,4,4,4,5,4,4,2,3,4,3,4,4,2,3,2,2,3,3,2.3333333333333335,1,2,3,2,3,3,33,m,college,3,28,24,52,32,40,35,211,2.3333333333333335
2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,3,2,1,1,2,3,3,3,3,3,2,2,3,3,2,1,2,2,2,1,1,1,2,2,2,3,2,2,1,2,2,3,2,2,2,3,1,2,3,3,3,3,3,3,2,3,2,2,2,3,2.1666666666666665,2,2,3,2,1,3,48,m,master,NA,22,18,28,18,20,32,138,2.1666666666666665
3,3,3,3,2,3,4,4,3,3,3,3,4,4,3,3,2,1,2,3,4,5,4,3,3,4,4,4,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,2,1,5,2,3,3,4,3,2,3,3,3,3,3,3,2,4,2,3,2,3,2.6666666666666665,3,3,3,2,2,3,23,f,bachelor,3,31,26,42,29,29,34,191,2.6666666666666665
2,3,2,3,1,3,1,2,3,2,3,4,3,3,2,2,2,3,2,3,2,2,1,2,2,2,1,3,2,1,1,3,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,0,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2.1666666666666665,1,3,3,1,2,3,33,f,school,NA,22,25,21,14,13,23,118,2.1666666666666665
1,2,2,3,3,4,3,2,2,4,3,3,2,3,1,3,2,4,3,2,4,3,4,2,3,4,4,3,2,3,3,3,2,3,2,4,3,3,3,2,1,2,2,2,3,2,2,3,2,2,4,2,1,3,4,4,3,4,4,3,1,3,4,2,3,1.8333333333333333,1,1,2,2,4,1,18,f,college,NA,26,24,35,25,23,38,171,1.8333333333333333
4,4,3,4,3,3,2,4,4,4,3,4,4,5,3,3,2,2,4,4,5,5,5,4,4,3,5,4,3,3,3,3,2,2,1,2,2,3,3,2,2,3,3,2,3,1,5,4,4,4,5,2,4,4,3,4,3,4,4,3,4,3,3,3,4,2.5,3,3,2,2,2,3,59,m,specialist,4,35,32,44,22,36,42,211,2.5
2,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,3,3,3,3,2,3,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,2,3,3,2,3,2.6666666666666665,2,3,3,2,3,3,41,m,college,3,28,22,32,20,21,30,153,2.6666666666666665
4,3,4,3,3,1,3,3,4,2,3,2,3,3,3,2,2,1,1,3,4,5,5,3,3,5,4,4,4,3,3,4,3,2,0,2,3,3,4,4,3,3,3,4,3,2,4,3,3,2,4,2,3,3,2,3,2,3,4,3,4,3,3,2,3,2.3333333333333335,3,3,1,1,3,3,26,f,college,4,30,21,44,27,31,35,188,2.3333333333333335
3,3,3,3,4,3,3,3,2,2,3,2,4,4,2,3,4,1,1,4,4,3,4,4,4,3,3,3,4,2,4,3,4,4,2,1,4,3,2,4,4,4,3,1,3,2,4,4,3,2,4,3,3,3,2,1,1,3,1,1,4,1,2,1,3,1.1666666666666667,1,1,1,2,1,1,25,m,college,NA,29,24,39,32,30,23,177,1.1666666666666667
2,2,3,4,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,2,4,4,3,3,3,3,4,4,3,2,2,4,3,3,3,2,3,2,4,4,3,3,2,3,2,2,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,3,1,2,2,1.5,2,3,1,1,1,1,34,m,bachelor,4,23,17,37,30,23,26,156,1.5
4,3,4,4,4,4,5,3,3,3,3,4,4,3,4,5,0,1,4,3,4,4,4,3,3,4,5,4,3,3,4,3,3,3,4,2,3,3,3,3,4,3,1,2,2,1,4,4,2,3,4,2,3,3,3,1,3,3,2,2,2,2,1,3,3,1.5,0,1,1,2,2,3,34,f,college,3.5,37,31,41,31,27,28,195,1.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,4,4,3,3,4,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,1,2,2,1,4,3,3,2,3,2,1,3,3,3,3,3,3,3,3,3,2,2,3,2.5,3,2,3,2,3,2,42,m,college,NA,30,26,36,24,23,34,173,2.5
3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,37,m,college,NA,28,27,31,24,29,33,172,2
2,2,2,3,3,2,2,3,2,2,2,1,2,3,2,2,0,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,2,1,2,2,2,2,4,2,2,3,3,2,2,2,5,2,3,3,5,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,0,2,26,f,college,3,23,18,29,22,28,18,138,1
4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,1,4,4,4,4,1,4,1,4,4,4,4,4,1,4,4,4,4,4,4,1.3333333333333333,1,1,1,1,2,2,34,f,college,4,34,36,41,28,34,45,218,1.3333333333333333
3,4,2,2,4,3,4,3,4,3,4,2,2,2,2,2,1,4,2,2,4,3,1,3,4,3,3,4,3,2,3,4,1,2,3,1,4,4,1,4,4,1,2,2,3,3,4,2,2,2,3,4,3,1,0,0,0,3,2,0,0,0,3,1,1,0.16666666666666666,0,0,0,0,1,0,41,m,bachelor,NA,32,22,35,25,27,11,152,0.16666666666666666
4,4,4,4,3,4,4,4,3,4,3,3,2,4,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,2,1,3,2,1,1,4,1,1,3,2,4,3,2,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,54,m,specialist,3,38,24,44,19,28,46,199,3
3,3,3,4,3,3,3,4,4,3,1,1,3,0,2,3,0,1,2,0,5,5,5,4,4,5,5,5,5,3,4,3,3,2,1,1,3,4,3,2,5,2,4,2,2,0,5,3,3,4,5,3,3,3,3,4,3,3,2,0,3,3,0,2,3,3,3,3,3,3,3,3,41,m,master,4.333333333333333,33,13,50,26,34,29,185,3
2,2,2,2,2,3,3,3,1,3,2,3,2,3,3,1,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,3,2,1,2,2,3,3,5,2,0,2,3,2,0,0,0,2,2,5,2,1,1,4,2,3,2,4,2,1,2,1,2,2,2,2,2,2,2,36,m,college,4,23,20,29,24,15,25,136,2
4,3,1,3,4,4,4,4,4,4,2,2,4,5,3,3,1,2,2,4,4,4,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,3,4,4,4,2,3,2,1,5,4,2,4,5,2,3,2,2,0,2,2,1,2,2,1,2,2,2,1.6666666666666667,1,1,2,2,3,1,34,m,college,3.5,35,27,38,35,32,20,187,1.6666666666666667
2,3,3,2,1,3,2,2,3,2,4,3,4,4,2,1,2,2,2,2,4,4,3,3,4,4,3,4,3,4,1,3,3,2,3,3,3,3,2,3,2,3,2,1,3,2,3,2,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,3,2.8333333333333335,3,3,3,3,2,3,54,m,college,4,23,24,36,27,26,25,161,2.8333333333333335
3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,0,0,2,3,2,2,0,2,3,3,3,3,2,2,3,2,0,3,1,2,1,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,61,f,specialist,NA,28,27,33,15,22,16,141,0
2,3,2,2,2,2,2,3,3,2,2,2,3,3,2,3,1,3,2,3,3,3,2,2,3,3,3,3,2,3,2,2,2,1,0,2,1,2,1,1,2,2,3,2,1,2,4,2,2,2,4,2,2,3,3,3,3,3,2,2,3,2,3,3,3,0.6666666666666666,0,0,2,0,2,0,54,f,college,3,23,23,28,14,24,33,145,0.6666666666666666
1,2,4,4,2,4,4,4,4,3,3,3,4,4,1,3,1,1,1,3,4,4,5,4,4,4,4,4,5,1,1,4,5,4,2,2,5,4,4,3,4,3,2,4,2,4,4,2,4,3,3,2,3,3,3,4,3,4,2,3,3,3,3,4,3,1.8333333333333333,1,1,3,1,3,2,41,f,specialist,4,32,23,43,36,29,38,201,1.8333333333333333
3,2,2,3,2,3,3,3,3,3,3,3,3,4,3,3,1,2,3,2,4,4,3,4,4,3,2,4,4,2,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2.1666666666666665,1,2,2,3,2,3,36,m,bachelor,3.3333333333333335,27,26,39,29,29,35,185,2.1666666666666665
2,1,1,2,4,4,0,1,3,2,2,1,3,4,1,1,4,1,0,2,3,3,2,2,0,3,2,4,2,2,5,1,1,0,0,1,0,0,1,0,0,1,3,0,4,2,1,4,3,1,1,0,0,4,3,3,1,4,2,3,5,4,4,4,5,1.6666666666666667,1,2,2,1,3,1,37,f,specialist,2,20,15,27,4,17,42,125,1.6666666666666667
5,4,5,4,4,5,4,5,3,3,4,4,5,5,4,4,2,1,1,4,5,5,5,5,4,5,3,5,4,2,4,5,4,3,2,2,4,5,4,3,4,5,4,4,4,4,5,4,4,5,5,4,4,1,1,3,3,1,2,1,3,1,3,1,3,1,0,1,1,2,0,2,42,m,specialist,3,42,32,50,36,43,23,226,1
3,3,3,3,2,1,1,3,3,1,2,2,2,4,3,1,1,2,2,2,4,4,4,3,3,4,2,1,1,4,2,3,1,2,1,0,2,2,3,2,1,2,2,0,3,1,2,3,1,2,3,0,2,3,2,5,3,2,1,1,3,1,2,3,3,1.1666666666666667,1,1,2,0,0,3,32,f,specialist,NA,23,20,31,16,18,29,137,1.1666666666666667
3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,3,3,3,3,3,4,4,3,3,2,3,2,3,2,1,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,3,3,3,4,3,2,2,2,3,2,3,2,3,2.6666666666666665,3,3,3,2,2,3,46,f,college,3,29,20,34,21,19,32,155,2.6666666666666665
3,3,3,4,3,4,2,3,2,3,3,3,4,4,3,3,0,2,2,3,4,5,4,4,5,4,2,4,4,1,4,4,1,1,2,2,2,3,3,2,1,2,4,2,3,1,4,4,4,2,4,2,3,3,3,4,2,3,3,3,3,3,2,3,4,1.5,1,2,2,1,0,3,22,m,bachelor,3,30,27,44,19,32,36,188,1.5
2,1,4,3,1,2,3,3,2,2,3,2,1,1,2,1,3,3,1,2,1,2,3,2,1,1,2,1,1,3,3,3,2,2,1,1,2,2,3,3,4,1,3,1,2,3,3,2,2,2,2,2,4,1,3,1,2,2,4,3,2,2,2,2,1,2,1,2,3,1,3,2,35,m,specialist,NA,23,16,20,21,23,25,128,2
3,2,3,2,1,4,3,5,4,3,3,4,3,4,2,2,0,1,2,2,5,5,5,5,4,5,2,3,5,1,4,4,3,4,1,2,3,2,3,3,4,3,3,3,2,2,4,2,3,3,3,4,3,2,2,2,2,3,2,3,3,2,2,3,2,2.6666666666666665,3,3,2,2,3,3,57,m,specialist,3.5,30,23,47,28,30,28,186,2.6666666666666665
4,4,4,4,4,4,3,5,3,5,3,3,4,5,2,3,0,2,2,3,4,4,4,4,5,5,3,4,4,4,4,4,2,1,2,1,2,4,3,2,1,1,3,4,5,0,5,4,5,5,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,2.1666666666666665,1,1,1,3,3,4,26,f,college,3.6666666666666665,40,27,45,19,42,46,219,2.1666666666666665
3,1,4,3,4,4,3,3,3,2,3,2,3,4,1,2,0,1,2,1,5,5,5,4,3,5,3,4,5,1,3,5,4,4,2,2,3,3,4,3,4,3,3,1,3,2,4,3,3,3,4,3,3,2,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,33,m,college,3,30,19,47,32,30,25,183,2
3,3,4,4,2,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,1,4,2,1,1,2,2,2,1,1,2,2,4,2,2,3,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1.8333333333333333,2,2,2,2,1,2,44,m,college,NA,31,20,34,19,23,25,152,1.8333333333333333
3,2,3,4,2,2,1,3,3,3,3,3,4,5,3,3,0,2,3,3,4,4,2,2,5,4,4,5,2,3,4,3,1,1,1,1,0,2,1,2,1,3,1,2,1,3,3,2,3,3,4,1,1,4,3,3,3,4,4,4,3,3,2,4,3,2.8333333333333335,3,3,3,2,3,3,60,m,college,3.5,26,29,39,13,21,40,168,2.8333333333333335
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0,2,3,2,5,5,5,3,5,5,5,5,3,2,2,4,5,0,2,2,5,5,0,0,0,5,3,3,3,2,4,3,3,3,5,2,2,5,3,3,3,3,2,3,3,3,2,3,3,2,2,2,3,1,1,3,54,f,bachelor,5,29,25,47,24,31,36,192,2
4,4,4,4,4,3,4,4,4,4,2,3,4,4,1,2,1,1,1,3,4,5,4,4,4,4,5,5,5,4,4,4,4,1,1,1,3,3,3,2,2,2,3,2,2,1,4,3,3,4,4,4,3,3,3,3,3,3,2,1,2,2,1,3,2,2.5,2,3,2,3,2,3,51,m,specialist,3.5,39,21,48,22,32,28,190,2.5
4,4,1,4,3,5,3,4,3,4,3,4,4,5,3,3,1,2,2,3,4,4,4,4,3,4,4,4,1,4,4,4,3,2,1,0,2,4,4,2,2,1,3,3,3,1,4,3,4,3,4,3,4,3,3,3,3,3,1,1,3,2,2,3,3,2.6666666666666665,2,3,3,3,2,3,40,m,college,4,35,29,40,21,34,30,189,2.6666666666666665
3,2,3,3,3,2,2,1,3,2,3,3,2,1,4,3,3,2,1,2,1,1,3,3,2,2,2,3,2,3,1,3,2,2,2,1,2,2,4,4,2,3,2,2,2,4,2,2,2,3,3,2,3,3,1,2,1,1,3,1,3,2,3,2,3,1.3333333333333333,1,2,1,1,1,2,50,m,college,NA,24,21,23,24,23,25,140,1.3333333333333333
3,3,3,3,2,3,2,3,3,3,3,3,3,4,2,2,1,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3,3,3,2,2,3,2,3,4,3,3,2,2,1,1,4,3,3,3,3,2,4,3,2,3,3,4,3,1,2,2,2,2,3,3.1666666666666665,4,4,3,3,2,3,50,m,college,3.75,28,23,31,28,27,30,167,3.1666666666666665
3,3,3,4,3,2,1,3,3,3,2,3,2,3,2,3,1,2,2,2,3,4,4,3,2,3,4,4,3,4,3,3,3,2,1,1,2,2,2,2,2,2,3,2,1,2,4,3,4,3,4,2,1,2,2,3,4,3,3,2,3,3,2,3,3,1.3333333333333333,1,2,2,1,0,2,41,f,bachelor,3.5,28,21,36,19,27,33,164,1.3333333333333333
3,3,5,2,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,3,4,4,4,4,4,4,4,4,4,1,4,4,4,3,1,2,4,4,3,3,3,4,4,4,4,1,4,4,4,3,4,3,4,3,2,4,2,3,2,3,3,3,3,2,3,2.3333333333333335,2,2,2,2,4,2,43,f,college,3,31,26,44,31,38,33,203,2.3333333333333335
3,4,3,4,0,2,4,3,3,1,3,1,2,5,2,2,3,2,2,2,3,3,3,4,0,1,4,5,5,2,0,4,3,1,0,0,3,3,3,2,3,3,3,4,2,2,4,0,2,3,3,3,2,5,2,1,3,3,3,1,4,3,3,4,4,3.1666666666666665,2,4,3,3,3,4,20,m,specialist,NA,27,21,32,21,26,36,163,3.1666666666666665
2,3,3,5,1,3,2,3,0,3,3,2,3,3,4,3,1,3,3,3,4,4,4,4,4,2,2,0,4,2,2,3,0,0,2,0,2,1,3,0,0,0,0,1,1,2,5,1,3,2,5,2,0,2,2,5,3,2,1,1,2,3,1,2,3,0.8333333333333334,1,1,0,1,0,2,29,f,bachelor,NA,25,27,33,8,20,27,140,0.8333333333333334
3,3,3,3,2,3,2,2,4,3,2,4,2,3,2,2,1,2,2,1,3,3,3,3,3,3,2,3,4,1,2,3,2,2,1,2,2,2,1,2,3,3,3,2,3,2,3,2,3,3,1,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,33,f,specialist,2.6666666666666665,28,20,32,20,24,34,158,3
3,3,4,4,1,4,4,3,3,3,3,4,3,3,2,3,1,2,2,1,4,4,5,4,4,4,4,5,1,3,2,4,3,2,0,0,3,3,3,3,3,3,3,3,3,4,4,2,4,3,4,3,4,3,2,3,2,3,2,2,3,2,2,1,2,1.5,2,2,2,1,0,2,61,m,school,4,32,23,41,23,33,27,179,1.5
2,4,2,3,1,2,3,2,3,0,3,3,2,4,1,3,0,1,3,4,4,3,3,3,2,2,3,4,3,1,1,2,2,1,4,1,1,2,1,1,1,3,3,2,3,0,4,2,2,3,4,1,1,4,3,4,1,3,2,1,4,3,3,1,4,2,1,1,2,2,3,3,23,m,bachelor,3,22,24,30,17,25,33,151,2
4,3,2,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,2,2,2,0,3,2,2,2,3,1,2,3,4,3,2,3,3,3,3,3,2,3,2,3,2,3,3,2.1666666666666665,3,2,3,1,1,3,33,f,master,NA,28,25,34,21,25,33,166,2.1666666666666665
4,3,4,3,2,4,3,4,5,3,1,0,5,5,0,0,1,1,0,2,3,5,4,5,2,4,4,3,3,0,5,3,1,1,3,3,4,3,4,0,1,0,3,4,3,0,5,3,4,3,5,3,5,4,4,5,4,4,4,5,4,4,1,0,1,2,1,3,1,3,3,1,19,m,school,5,35,14,41,20,38,40,188,2
4,3,3,2,5,3,3,3,3,4,1,3,3,2,2,3,4,0,1,3,4,4,2,4,4,4,4,4,3,0,5,1,3,2,0,0,4,3,2,3,5,2,3,4,0,2,0,5,3,2,1,2,2,4,4,4,4,4,4,2,4,4,4,4,5,0,0,0,0,0,0,0,27,m,college,5,33,18,39,24,22,47,183,0
2,2,2,3,2,2,2,3,2,3,0,0,2,0,0,0,0,0,0,0,2,5,3,3,2,2,3,3,3,1,3,2,2,2,0,0,2,2,3,2,2,2,2,3,0,2,5,0,2,3,3,3,5,4,3,3,3,2,2,3,3,3,2,3,5,1.1666666666666667,1,1,1,1,2,1,44,m,specialist,4,23,2,31,17,26,36,135,1.1666666666666667
2,2,3,2,2,3,2,3,3,3,2,1,3,3,2,2,1,2,2,2,3,3,4,3,2,3,2,4,3,1,2,3,2,1,1,4,1,2,2,1,2,2,3,2,3,2,4,2,3,3,4,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2.1666666666666665,2,2,2,2,3,2,28,m,college,NA,25,19,32,18,30,26,150,2.1666666666666665
4,5,5,5,0,4,0,1,5,0,0,0,0,5,0,0,5,0,0,4,5,5,5,5,0,5,1,5,0,0,0,5,5,5,0,0,5,2,0,5,5,5,0,0,5,4,5,5,0,0,5,0,3,4,4,5,5,5,5,0,5,0,0,1,4,0,0,0,0,0,0,0,36,m,school,3,29,9,36,32,23,38,167,0
4,1,4,4,3,4,3,3,3,2,2,1,4,5,2,1,0,1,2,2,2,3,5,4,5,5,5,5,3,2,3,2,3,4,0,1,4,4,3,3,4,3,4,3,1,2,5,3,3,3,4,2,2,4,3,2,3,4,0,3,4,3,2,4,5,2.5,3,3,3,1,3,2,19,m,school,NA,31,20,42,29,30,37,189,2.5
5,4,4,3,5,4,5,5,5,5,2,5,5,5,4,3,0,1,5,5,5,5,4,5,5,5,5,5,5,0,5,5,4,0,5,1,5,4,1,3,1,5,5,5,5,1,5,5,5,5,3,5,4,5,5,5,5,5,4,3,5,4,5,4,5,1.5,1,1,2,0,2,3,21,m,bachelor,NA,45,35,54,29,47,55,265,1.5
4,4,3,3,4,4,3,4,4,3,4,3,4,4,3,4,2,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,2,4,3,2,3,3,4,4,2,3,3,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,2,2,2,4,3,3,3,3,3,3,3,53,m,master,2.6666666666666665,36,31,44,29,36,30,206,3
2,3,2,3,0,3,3,2,3,3,2,4,2,2,3,4,0,3,1,3,3,0,3,3,1,2,4,4,0,1,1,1,2,1,3,1,2,3,2,2,1,2,3,2,1,0,4,0,3,3,4,0,0,2,3,5,4,3,3,3,2,1,2,3,3,1.3333333333333333,1,1,1,1,3,1,43,m,school,NA,24,24,22,19,20,34,143,1.3333333333333333
2,4,2,4,3,4,3,3,2,2,4,3,4,5,4,4,0,2,3,4,5,5,5,5,5,3,5,5,4,3,4,5,4,2,0,1,4,3,2,1,2,3,3,3,1,3,5,1,4,4,5,3,3,4,3,4,4,4,4,3,4,4,3,4,4,2.5,1,3,2,3,3,3,31,f,specialist,1.3333333333333333,29,33,51,22,32,45,212,2.5
3,2,3,3,2,2,2,4,2,2,3,3,3,5,4,3,1,2,2,2,4,4,4,5,2,3,2,5,5,2,3,3,2,2,4,3,3,3,2,2,3,2,3,2,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,2.5,2,3,3,2,2,3,45,m,college,NA,25,27,40,26,27,37,182,2.5
4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,1,2,2,3,3,2,2,2,3,2,3,2,4,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,39,m,bachelor,NA,30,24,32,21,30,34,171,3
